date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:41:42	60875/60875	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202015%2016:19:52%20GMT	http://www.bdinfosys.com/demo/materialx/images/blog3.jpg	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/blog3.jpg	(from http://www.bdinfosys.com/demo/materialx/)
22:41:47	23890/23890	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:47%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/owl-carousel/owl.carousel.min.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/owl-carousel/owl.carousel.min.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:48	57983/57983	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:51%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/jquery.nicescroll.min.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/jquery.nicescroll.min.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:50	95931/95931	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/My%20Web%20Sites/TechPlaces/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:51	57514/57514	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:51%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/gmaps.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/gmaps.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:52	4598/4598	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:51%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/common.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/common.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:52	10423/10423	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:47%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/sweetalert/sweet-alert.min.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/sweetalert/sweet-alert.min.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:55	17477/17477	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:51%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/main.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/main.js	(from http://www.bdinfosys.com/demo/materialx/)
22:42:00	71647/71647	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:47%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/jwplayer/jwplayer.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/jwplayer/jwplayer.js	(from http://www.bdinfosys.com/demo/materialx/)
22:42:02	56780/56780	---M--	200	added ('OK')	text/html	date:Mon,%2006%20Apr%202015%2016:19:46%20GMT	http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfonte0a5.html	(from http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/css/font-awesome.min.css)
22:42:04	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2006%20Apr%202015%2016:19:46%20GMT	http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfont.eot?v=4.3.0	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfonte0a5.eot	(from http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/css/font-awesome.min.css)
22:42:06	110449/110449	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:50%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/js/materialize.min.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/js/materialize.min.js	(from http://www.bdinfosys.com/demo/materialx/)
22:42:07	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2006%20Apr%202015%2016:19:46%20GMT	http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/css/font-awesome.min.css)
22:42:12	313962/313962	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2006%20Apr%202015%2016:19:46%20GMT	http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfont.svg?v=4.3.0	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfonte0a5.svg	(from http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/css/font-awesome.min.css)
22:42:15	71508/71508	---M--	200	added ('OK')	application/font-woff	date:Mon,%2006%20Apr%202015%2016:19:46%20GMT	http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfont.woff?v=4.3.0	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfonte0a5.woff	(from http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/css/font-awesome.min.css)
22:42:26	122092/122092	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2006%20Apr%202015%2016:19:46%20GMT	http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/font/font-awesome/fonts/fontawesome-webfonte0a5.ttf	(from http://www.bdinfosys.com/demo/materialx/assets/font/font-awesome/css/font-awesome.min.css)
22:42:32	141748/141748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2006%20Apr%202015%2016:19:48%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Icons.eot?-g7cqhn	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Icons0ae1.eot	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:42:36	330132/330132	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2006%20Apr%202015%2016:19:47%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Icons.svg?-g7cqhn	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Icons0ae1.svg	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:42:38	141748/141748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2006%20Apr%202015%2016:19:48%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Icons.eot?	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Iconsd41d.eot	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:42:41	141604/141604	---M--	200	added ('OK')	application/font-woff	date:Mon,%2006%20Apr%202015%2016:19:47%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Icons.woff?-g7cqhn	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Icons0ae1.woff	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:42:51	141528/141528	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2006%20Apr%202015%2016:19:48%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Icons.ttf?-g7cqhn	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/material-design-icons/Material-Design-Icons0ae1.ttf	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:43:03	163132/163132	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2006%20Apr%202015%2016:19:48%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Thin.ttf	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Thin.ttf	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:43:04	162420/162420	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2006%20Apr%202015%2016:19:49%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Light.ttf	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Light.ttf	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:43:05	116/116	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202015%2016:19:47%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/owl-carousel/grabbing.png	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/owl-carousel/grabbing.png	(from http://www.bdinfosys.com/demo/materialx/assets/libs/owl-carousel/owl.carousel.css)
22:43:05	1517/1517	---M--	200	added ('OK')	image/gif	date:Mon,%2006%20Apr%202015%2016:19:46%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/owl-carousel/AjaxLoader.gif	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/owl-carousel/AjaxLoader.gif	(from http://www.bdinfosys.com/demo/materialx/assets/libs/owl-carousel/owl.theme.css)
22:43:07	162876/162876	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2006%20Apr%202015%2016:19:48%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Regular.ttf	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Regular.ttf	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:43:17	162588/162588	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2006%20Apr%202015%2016:19:48%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Medium.ttf	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Medium.ttf	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:43:29	162464/162464	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2006%20Apr%202015%2016:19:49%20GMT	http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Bold.ttf	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/libs/materialize/font/roboto/Roboto-Bold.ttf	(from http://www.bdinfosys.com/demo/materialx/assets/libs/materialize/css/materialize.min.css)
22:43:29	7026/7026	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202015%2016:19:45%20GMT	http://www.bdinfosys.com/demo/materialx/assets/css/blog.css	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/css/blog.css	(from http://www.bdinfosys.com/demo/materialx/blog.html)
22:43:32	151412/151412	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202015%2016:19:52%20GMT	http://www.bdinfosys.com/demo/materialx/images/home-bg.jpg	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/home-bg.jpg	(from http://www.bdinfosys.com/demo/materialx/assets/css/main.css)
22:43:32	81764/81764	---M--	200	added ('OK')	text/html	date:Mon,%2006%20Apr%202015%2016:19:53%20GMT	http://www.bdinfosys.com/demo/materialx/index.html	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/index-2.html	(from http://www.bdinfosys.com/demo/materialx/blog.html)
22:43:34	4604/4604	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202015%2016:19:53%20GMT	http://www.bdinfosys.com/demo/materialx/images/cmt1.jpg	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/cmt1.jpg	(from http://www.bdinfosys.com/demo/materialx/single.html)
22:43:35	2946/2946	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202015%2016:19:52%20GMT	http://www.bdinfosys.com/demo/materialx/images/unknown.jpg	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/unknown.jpg	(from http://www.bdinfosys.com/demo/materialx/single.html)
22:43:36	175765/175765	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202015%2016:19:52%20GMT	http://www.bdinfosys.com/demo/materialx/images/skills-bg.jpg	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/skills-bg.jpg	(from http://www.bdinfosys.com/demo/materialx/assets/css/main.css)
22:43:36	113172/113172	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202015%2016:19:53%20GMT	http://www.bdinfosys.com/demo/materialx/images/fun-facts-bg.jpg	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/fun-facts-bg.jpg	(from http://www.bdinfosys.com/demo/materialx/assets/css/main.css)
22:43:37	14801/14801	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202015%2016:19:52%20GMT	http://www.bdinfosys.com/demo/materialx/images/cmt2.jpg	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/cmt2.jpg	(from http://www.bdinfosys.com/demo/materialx/single.html)
22:43:49	330396/330396	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202015%2016:19:52%20GMT	http://www.bdinfosys.com/demo/materialx/images/single-blog.png	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/single-blog.png	(from http://www.bdinfosys.com/demo/materialx/single.html)
